bet_target_name,external_league_id,league_name,sport_id,sport_name
"Pettis, S",3000,2020 Bellator 85,mma,MMA
FC Minsk,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
Gençlerbirligi SK,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
Hajduk Split,1150,2019/2020 MAXtv Prva HNL,soccer,Soccer
Adelaide United Youth,3288,2020 PS4 National Premier Leagues South,soccer,Soccer
Servette FC,1162,2019/2020 Raiffeisen Super League,soccer,Soccer
Clarence Zebras FC,3290,2020 National Premier Leagues Tasmania,soccer,Soccer
"Hatley, C",3000,2020 Bellator 85,mma,MMA
Toronto FC,3053,2020 MLS,soccer,Soccer
San Diego Padres,373,MLB,baseball,Baseball
Brisbane Lions,3219,2020 Toyota AFL Premiership,aussie-rules,Aussie Rules
Hellas Verona,2398,2019/2020 Serie A TIM,soccer,Soccer
Birmingham Legion FC,3227,2020 USL,soccer,Soccer
Zenit Saint-Petersburg,2412,2019/2020 Pirelli Russian Cup,soccer,Soccer
Wuhan Zall,3155,2020 Chinese Super League,soccer,Soccer
West Coast,3219,2020 Toyota AFL Premiership,aussie-rules,Aussie Rules
St. Louis Blues,321,NHL,ice-hockey,Hockey
"Jackson, J",3000,2020 Bellator 85,mma,MMA
Olympic FC,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
Cincinnati Bengals,319,NFL,american-football,Football
Dallas Mavericks,320,NBA,basketball,Basketball
Perth Glory Youth,3289,2020 PS4 National Premier Leagues Western,soccer,Soccer
FC Schaffhausen,1233,2019/2020 Brack.ch Challenge League,soccer,Soccer
Balcatta FC,3289,2020 PS4 National Premier Leagues Western,soccer,Soccer
Pohang Steelers,3188,2020 Korea Republic K-League 1,soccer,Soccer
Pogon Szczecin,1148,2019/2020 T-Mobile Ekstraklasa,soccer,Soccer
Radomiak Radom,2411,2020/2021 Polish First League,soccer,Soccer
"Shahbazyan, E",2897,2020 Ultimate Fighting Championship,mma,MMA
"Sysoeva, A",3333,2020 US Pro Tennis Series Women,tennis,Tennis
Chongqing Siwei,3155,2020 Chinese Super League,soccer,Soccer
Göztepe,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
"Krokhin, V",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
CS Mioveni,2410,2019/2020 Liga II,soccer,Soccer
Houston Rockets,320,NBA,basketball,Basketball
Dnepr Mogilev,3336,2020/2021 Belarusian Cup,soccer,Soccer
Brann,3351,2020 Eliteserien,soccer,Soccer
"Collier, J",2897,2020 Ultimate Fighting Championship,mma,MMA
Tochigi S.C.,3181,2020 J. League 2,soccer,Soccer
Philadelphia Union II,3227,2020 USL,soccer,Soccer
Chunichi Dragons,3377,2020 Nippon Professional Baseball,baseball,Baseball
NFL Outrights 2020/21,3340,NFL Futures,american-football,Football
Kalmar FF,3285,2020 Allsvenskan,soccer,Soccer
Akhmat Grozny,1124,2019/2020 Sogaz Russian Championship,soccer,Soccer
UFC Booster Odds,3424,Crowd Boosters,name-a-bet,Name A Bet
Bayer 04 Leverkusen,2454,2019/2020 UEFA Europa League,soccer,Soccer
Benevento,2399,2019/2020 Serie B Eurobet,soccer,Soccer
"Stanley, K",3444,2020 3M Open,golf,Golf
"Cappelen, S",3444,2020 3M Open,golf,Golf
Sunshine Coast Wanderers,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
FC Telavi,3220,2020 Georgia Erovnuli Liga,soccer,Soccer
Montedio Yamagata,3181,2020 J. League 2,soccer,Soccer
Philadelphia 76ers,320,NBA,basketball,Basketball
Metalist 1925 Kharkiv,2616,2019/2020 Persha Liha,soccer,Soccer
Sepsi OSK Sfantu Gheorghe,1123,2019/2020 Liga 1 Bergembier,soccer,Soccer
"Chang, H",3362,2020 US Pro Tennis Series West Women,tennis,Tennis
Sevilla,2454,2019/2020 UEFA Europa League,soccer,Soccer
Pisa,2399,2019/2020 Serie B Eurobet,soccer,Soccer
FC Midtjylland,1122,2019/2020 ALKA Superliga,soccer,Soccer
Racing Santander,2366,2019/2020 LaLiga 1|2|3,soccer,Soccer
Monterrey,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Finland,2898,2020 European UEFA European Football Championship,soccer,Soccer
SV Lafnitz,2548,2019/2020 Austria 2. Liga,soccer,Soccer
"Suharkov, O",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Brøndby IF,1122,2019/2020 ALKA Superliga,soccer,Soccer
Renofa Yamaguchi,3181,2020 J. League 2,soccer,Soccer
France,2898,2020 European UEFA European Football Championship,soccer,Soccer
"Boser, T",2897,2020 Ultimate Fighting Championship,mma,MMA
Ljungskile SK,3284,2020 Superettan,soccer,Soccer
"Morgina, A",3362,2020 US Pro Tennis Series West Women,tennis,Tennis
"Merzlikin, D",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Rakow Czestochowa,1148,2019/2020 T-Mobile Ekstraklasa,soccer,Soccer
KTP,3405,2020 Ykkönen,soccer,Soccer
Vitória de Setúbal,1283,2019/2020 Liga NOS,soccer,Soccer
Pärnu Jalgpalliklubi,3251,2020 Esiliiga A,soccer,Soccer
New York Islanders,321,NHL,ice-hockey,Hockey
Trelleborgs FF,3284,2020 Superettan,soccer,Soccer
San Francisco Giants,373,MLB,baseball,Baseball
Kingborough Lions,3290,2020 National Premier Leagues Tasmania,soccer,Soccer
Varbergs BoIS,3285,2020 Allsvenskan,soccer,Soccer
HNK Gorica,1150,2019/2020 MAXtv Prva HNL,soccer,Soccer
AC Oulu,3405,2020 Ykkönen,soccer,Soccer
Gamba Osaka,3139,2020 J. League,soccer,Soccer
Vändra JK Vaprus,3251,2020 Esiliiga A,soccer,Soccer
Rangers,2454,2019/2020 UEFA Europa League,soccer,Soccer
BSC Young Boys,1162,2019/2020 Raiffeisen Super League,soccer,Soccer
Denmark,2898,2020 European UEFA European Football Championship,soccer,Soccer
Sporting de Braga,1283,2019/2020 Liga NOS,soccer,Soccer
GKS Belchatów,2411,2020/2021 Polish First League,soccer,Soccer
Besiktas JK,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
"Mochizuki, S",3353,2020 Grand Slam Tennis Tours MatchPlay 120,tennis,Tennis
San Antonio Spurs,320,NBA,basketball,Basketball
Viborg FF,2418,2019/2020 NordicBet Ligaen,soccer,Soccer
"Kuzmin, S",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
NULL,3424,Crowd Boosters,name-a-bet,Name A Bet
Wellington Phoenix,2712,2019/2020 Hyundai A-League,soccer,Soccer
"Petrov, V",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
SK Wyverns,3330,2020 Korean Baseball Organization,baseball,Baseball
Venezia,2399,2019/2020 Serie B Eurobet,soccer,Soccer
Crusaders,3344,2020 Super Rugby Mini-Series,rugby-union,Rugby Union
Ukraine,2898,2020 European UEFA European Football Championship,soccer,Soccer
FC Viitorul Constanta,1123,2019/2020 Liga 1 Bergembier,soccer,Soccer
St. Louis Cardinals,373,MLB,baseball,Baseball
"Day, K",3362,2020 US Pro Tennis Series West Women,tennis,Tennis
VPS,3405,2020 Ykkönen,soccer,Soccer
Hanwha Eagles,3330,2020 Korean Baseball Organization,baseball,Baseball
Suwon Samsung Bluewings,3188,2020 Korea Republic K-League 1,soccer,Soccer
"Evloev, M",2897,2020 Ultimate Fighting Championship,mma,MMA
"Miocic, S",2897,2020 Ultimate Fighting Championship,mma,MMA
Campbelltown City,3288,2020 PS4 National Premier Leagues South,soccer,Soccer
Internazionale,2454,2019/2020 UEFA Europa League,soccer,Soccer
"Elie, J",3333,2020 US Pro Tennis Series Women,tennis,Tennis
Everton,1180,England Premier League,soccer,Soccer
Chelsea,1180,England Premier League,soccer,Soccer
Sanfrecce Hiroshima,3139,2020 J. League,soccer,Soccer
Chojniczanka Chojnice,2411,2020/2021 Polish First League,soccer,Soccer
"Matveyev, I",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Hvidovre IF,2418,2019/2020 NordicBet Ligaen,soccer,Soccer
New Orleans Saints,319,NFL,american-football,Football
Kashima Antlers,3139,2020 J. League,soccer,Soccer
Minnesota Twins,373,MLB,baseball,Baseball
Italy,2898,2020 European UEFA European Football Championship,soccer,Soccer
FC Luzern,1162,2019/2020 Raiffeisen Super League,soccer,Soccer
Tartu JK Tammeka,3253,2020 A Le Coq Premium Liiga,soccer,Soccer
FK Kukësi,2444,2019/2020 Kategoria Superiore,soccer,Soccer
Atlanta Braves,373,MLB,baseball,Baseball
Inglewood United,3289,2020 PS4 National Premier Leagues Western,soccer,Soccer
"Zhulyabin, V",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Western Force,3414,2020 Super Rugby Mini-Series,rugby-union,Rugby Union
Gyeongnam FC,3255,2020 Korea Republic K-League 2,soccer,Soccer
Devonport City SC Strikers,3290,2020 National Premier Leagues Tasmania,soccer,Soccer
Kohtla-Järve JK Järve,3251,2020 Esiliiga A,soccer,Soccer
Gold Coast United,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
Odds Ballklubb,3351,2020 Eliteserien,soccer,Soccer
FC København,1122,2019/2020 ALKA Superliga,soccer,Soccer
FC Chiasso,1233,2019/2020 Brack.ch Challenge League,soccer,Soccer
West Ham,1180,England Premier League,soccer,Soccer
Peninsula Power,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
Mikkelin Palloilijat,3405,2020 Ykkönen,soccer,Soccer
Alanyaspor,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
Östers IF,3284,2020 Superettan,soccer,Soccer
Daegu FC,3188,2020 Korea Republic K-League 1,soccer,Soccer
Granada CF,1181,2019/2020 Liga de Fútbol Profesional,soccer,Soccer
Puebla,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Warta Poznan,2411,2020/2021 Polish First League,soccer,Soccer
"Burton, S",3313,2020 Icons of Darts Live League,darts,Darts
FC Anyang,3255,2020 Korea Republic K-League 2,soccer,Soccer
Tampa Bay Lightning,321,NHL,ice-hockey,Hockey
