bet_target_name,external_league_id,league_name,sport_id,sport_name
Maccabi FOX Tel Aviv,3397,2019/2020 Ligat HaAl,basketball,Basketball
"Kianzad, P",2897,2020 Ultimate Fighting Championship,mma,MMA
"Gavlas, A",3326,2020 TTStar Series,table-tennis,Table Tennis
Jeonnam Dragons,3255,2020 Korea Republic K-League 2,soccer,Soccer
SV Horn,2548,2019/2020 Austria 2. Liga,soccer,Soccer
Penrith Panthers,3296,2020 Telstra Premiership,rugby-league,Rugby League
Konyaspor,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
Dinamo Zagreb,1150,2019/2020 MAXtv Prva HNL,soccer,Soccer
FK Auda,3417,2020 Latvia 1. Liga,soccer,Soccer
Doosan Bears,3330,2020 Korean Baseball Organization,baseball,Baseball
FC Slavia Mozyr,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
Bodø/Glimt,3351,2020 Eliteserien,soccer,Soccer
Viljandi JK Tulevik,3253,2020 A Le Coq Premium Liiga,soccer,Soccer
Halmstads BK,3284,2020 Superettan,soccer,Soccer
Sorrento FC,3289,2020 PS4 National Premier Leagues Western,soccer,Soccer
FC Winterthur,1233,2019/2020 Brack.ch Challenge League,soccer,Soccer
FC København,2454,2019/2020 UEFA Europa League,soccer,Soccer
Bologna,2398,2019/2020 Serie A TIM,soccer,Soccer
Los Angeles FC,3053,2020 MLS,soccer,Soccer
Yeni Malatyaspor,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
Molde,3351,2020 Eliteserien,soccer,Soccer
IK Brage,3284,2020 Superettan,soccer,Soccer
FC Liefering,2548,2019/2020 Austria 2. Liga,soccer,Soccer
"Dufner, J",3444,2020 3M Open,golf,Golf
"Ovchinnikov, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Nagoya Grampus,3139,2020 J. League,soccer,Soccer
FC Seoul,3188,2020 Korea Republic K-League 1,soccer,Soccer
Utah Jazz,320,NBA,basketball,Basketball
Cleveland Indians,373,MLB,baseball,Baseball
Pordenone,2399,2019/2020 Serie B Eurobet,soccer,Soccer
JDFS Alberts,3417,2020 Latvia 1. Liga,soccer,Soccer
Memphis 901 FC,3227,2020 USL,soccer,Soccer
Deportivo Saprissa,3350,2020 Union de Clubes de Primera División,soccer,Soccer
Udinese,2398,2019/2020 Serie A TIM,soccer,Soccer
Boston Celtics,320,NBA,basketball,Basketball
Limon FC,3350,2020 Union de Clubes de Primera División,soccer,Soccer
"Pinkovskii, P",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Fiorentina,2398,2019/2020 Serie A TIM,soccer,Soccer
"Esparza, C",2897,2020 Ultimate Fighting Championship,mma,MMA
Helsingborgs IF,3285,2020 Allsvenskan,soccer,Soccer
Pittsburgh Steelers,319,NFL,american-football,Football
KPV,3405,2020 Ykkönen,soccer,Soccer
